web-scraper-order,web-scraper-start-url,link_toko,link_toko-href,nama_toko,Jml_produk,chat,follower,rating_toko,bergabung,promo,alamat_toko,link_produk,link_produk-href,nama_produk,promo_produk,terjual,gratis_ongkir,favorit
"1669055455-395","https://shopee.co.id/mall/brands/11042849","Legiteamate","https://shopee.co.id/legiteamate","","78","100% (hitungan jam)","123","4.8 (20 penilaian)","11 bulan lalu","null","KOTA JAKARTA PUSAT","49%offLegiteamate Co-ord Colour Block Hoodie Man - Hoodie PriaRp389.000Rp199.0001 TerjualKOTA JAKARTA PUSAT","https://shopee.co.id/Legiteamate-Co-ord-Colour-Block-Hoodie-Man-Hoodie-Pria-i.615766512.15947845188?sp_atk=e35cdad0-2127-431f-bca4-de1bebf66359&xptdk=e35cdad0-2127-431f-bca4-de1bebf66359","null","null","null","null","null"
"1669055477-396","https://shopee.co.id/mall/brands/11042849","Lee Cooper","https://shopee.co.id/leecooperindo","","396","98% (hitungan jam)","66,2RB","4.9 (12,3RB penilaian)","5 tahun lalu","null","KOTA CIMAHI","15%offLee Cooper T-shirt Logo Diamond BlackDiskon Rp5RBRp189.500Rp161.075234 TerjualKOTA CIMAHI","https://shopee.co.id/Lee-Cooper-T-shirt-Logo-Diamond-Black-i.44698829.8096422581?sp_atk=2cc5a105-7b64-4df8-8cc3-ee86c2532ba0&xptdk=2cc5a105-7b64-4df8-8cc3-ee86c2532ba0","null","null","null","null","null"
"1669055509-397","https://shopee.co.id/mall/brands/11042849","Leaf Store","https://shopee.co.id/leafofficialstore","","381","98% (hitungan jam)","170,9RB","4.8 (44,6RB penilaian)","4 tahun lalu","null","KOTA TANGERANG","62%offLEAF OG Logo Classic Black T-ShirtPilih 2, bayar Rp155.000Rp85.000 - Rp90.0004,2RB TerjualKOTA TANGERANG","https://shopee.co.id/LEAF-OG-Logo-Classic-Black-T-Shirt-i.139082508.7631536427?sp_atk=58316dc4-2329-485a-b9ab-c18d7e6c9020&xptdk=58316dc4-2329-485a-b9ab-c18d7e6c9020","null","null","null","null","null"
"1669055533-398","https://shopee.co.id/mall/brands/11042849","LAZYDUCK","https://shopee.co.id/lazyduck_official","","66","100% (hitungan jam)","11,7RB","4.8 (2,1RB penilaian)","34 bulan lalu","null","KAB. BANDUNG","50%offLAZYDUCK - Bundling Tshirt OversizeCelana Pendek 2Kombo HematRp260.000Rp130.0001,2RB TerjualKAB. BANDUNG","https://shopee.co.id/LAZYDUCK-Bundling-Tshirt-OversizeCelana-Pendek-2-i.221780846.13581332211?sp_atk=86442b68-0512-4f7d-ae37-9f5e635934e9&xptdk=86442b68-0512-4f7d-ae37-9f5e635934e9","null","null","null","null","null"
"1669055556-399","https://shopee.co.id/mall/brands/11042849","Lawless Jakarta","https://shopee.co.id/lawlessjakarta","","446","69% (hitungan jam)","47,5RB","4.9 (22,4RB penilaian)","27 bulan lalu","null","KOTA DEPOK","Lawless - Bonded By Beer Ziphoodie - BlackRp509.000152 TerjualKOTA DEPOK","https://shopee.co.id/Lawless-Bonded-By-Beer-Ziphoodie-Black-i.295071773.10164142216?sp_atk=44b23b36-f1b8-457a-b04e-5becc341a843&xptdk=44b23b36-f1b8-457a-b04e-5becc341a843","null","null","null","null","null"
"1669055582-400","https://shopee.co.id/mall/brands/11042849","Lawlaka","https://shopee.co.id/lawlaka.indonesia","","63","69% (hitungan jam)","3,6RB","4.9 (601 penilaian)","25 bulan lalu","null","KOTA BANDUNG","30%offLawlaka Kemeja Kasual Ragala NataRp314.300 - Rp335.300280 TerjualKOTA BANDUNG","https://shopee.co.id/Lawlaka-Kemeja-Kasual-Ragala-Nata-i.330327479.5671611256?sp_atk=80a165b0-8748-461f-9437-01960ca75d3a&xptdk=80a165b0-8748-461f-9437-01960ca75d3a","null","null","null","null","null"
"1669055606-401","https://shopee.co.id/mall/brands/11042849","LASTKISS","https://shopee.co.id/lastkiss.id","","122","85% (hitungan jam)","166,7RB","4.7 (60,1RB penilaian)","35 bulan lalu","null","KOTA BANDUNG","60%offLastkiss T-Shirt Mythology BlackRp150.000Rp59.9006,6RB TerjualKOTA BANDUNG","https://shopee.co.id/Lastkiss-T-Shirt-Mythology-Black-i.215648269.10666935241?sp_atk=b46ad1b4-2e04-4412-b57d-dd3a3e8e0b38&xptdk=b46ad1b4-2e04-4412-b57d-dd3a3e8e0b38","null","null","null","null","null"
"1669055629-402","https://shopee.co.id/mall/brands/11042849","Lasting","https://shopee.co.id/lastingcloth","","350","89% (hitungan jam)","113,4RB","4.8 (88,2RB penilaian)","3 tahun lalu","null","KAB. BANDUNG","30%offLasting T-Shirt Logo Animasi - BlackPilih 2, bayar Rp170.000Rp125.000Rp87.50010RB+ TerjualKAB. BANDUNG","https://shopee.co.id/Lasting-T-Shirt-Logo-Animasi-Black-i.175292979.6839835868?sp_atk=5e624032-1c0c-485c-bde9-89e9aece7998&xptdk=5e624032-1c0c-485c-bde9-89e9aece7998","null","null","null","null","null"
"1669055653-403","https://shopee.co.id/mall/brands/11042849","Laskala Batik","https://shopee.co.id/laskalabatik","","435","96% (hitungan jam)","85,5RB","4.8 (10,9RB penilaian)","29 bulan lalu","null","KOTA BEKASI","Laskala Batik Premium Slimfit Guntur K06A253Kombo HematRp396.000 - Rp430.0001,5RB TerjualKOTA BEKASI","https://shopee.co.id/Laskala-Batik-Premium-Slimfit-Guntur-K06A253-i.272046630.9783087008?sp_atk=81f226d0-1d10-46c4-a8cd-36f42fd58662&xptdk=81f226d0-1d10-46c4-a8cd-36f42fd58662","null","null","null","null","null"
"1669055676-404","https://shopee.co.id/mall/brands/11042849","Larusso","https://shopee.co.id/larusso_store","","535","78% (hitungan jam)","93,4RB","4.8 (16,5RB penilaian)","5 tahun lalu","null","KOTA SURABAYA","47%offLARUSSO T-Shirt Premium Pocket Tee - NavyDiskon 5%Rp189.900Rp99.9001,3RB TerjualKOTA SURABAYA","https://shopee.co.id/LARUSSO-T-Shirt-Premium-Pocket-Tee-Navy-i.56683013.4484134634?sp_atk=4e2a8716-2c5f-4fbe-af39-7717b5600a37&xptdk=4e2a8716-2c5f-4fbe-af39-7717b5600a37","null","null","null","null","null"
"1669055699-405","https://shopee.co.id/mall/brands/11042849","Langky","https://shopee.co.id/langkyofficial","","270","99% (hitungan jam)","15,7RB","4.8 (6,3RB penilaian)","34 bulan lalu","null","KOTA TASIKMALAYA","65%offTas Selempang Distro Tas Slingbag Langky GIWO MN E.FornituraDiskon 80%Rp130.000Rp69.000161 TerjualKOTA TASIKMALAYA","https://shopee.co.id/Tas-Selempang-Distro-Tas-Slingbag-Langky-GIWO-MN-E.Fornitura-i.223495194.4244897442?sp_atk=52e5a276-45c0-4443-a737-6724663e0824&xptdk=52e5a276-45c0-4443-a737-6724663e0824","null","null","null","null","null"
"1669055721-406","https://shopee.co.id/mall/brands/11042849","Kybost","https://shopee.co.id/kybost","","105","64% (hitungan jam)","13,1RB","4.7 (426 penilaian)","25 bulan lalu","null","KOTA JAKARTA BARAT","52%offKYBOST Kemeja Motif Kotak Pria Lengan Pendek Slimfit Katun Stretch Premium STF008Rp289.000Rp138.72080 TerjualKOTA JAKARTA BARAT","https://shopee.co.id/KYBOST-Kemeja-Motif-Kotak-Pria-Lengan-Pendek-Slimfit-Katun-Stretch-Premium-STF008-i.333308809.17830924935?sp_atk=cf04492a-30cb-4584-b2f5-8da02ce135c0&xptdk=cf04492a-30cb-4584-b2f5-8da02ce135c0","null","null","null","null","null"
"1669055744-407","https://shopee.co.id/mall/brands/11042849","Ky-Poo","https://shopee.co.id/kypoo_official_shop","","63","85% (hitungan jam)","141","4.9 (224 penilaian)","4 bulan lalu","null","KOTA TANGERANG","69%offKypoo Kaos Kancing Lengan Panjang Polos / Kaos Henley / Kaos Kancing Mandarin / Maos Polos  / Kaos Pria / Kaos DistroRp35.890 - Rp71.89016 TerjualKOTA TANGERANG","https://shopee.co.id/Kypoo-Kaos-Kancing-Lengan-Panjang-Polos-Kaos-Henley-Kaos-Kancing-Mandarin-Maos-Polos-Kaos-Pria-Kaos-Distro-i.826429158.20852187071?sp_atk=13b1d0dd-ddce-4d21-8327-68a5e89eef1d&xptdk=13b1d0dd-ddce-4d21-8327-68a5e89eef1d","null","null","null","null","null"
"1669055767-408","https://shopee.co.id/mall/brands/11042849","Kwitan","https://shopee.co.id/kwitan","","47","90% (hitungan jam)","1,7RB","4.9 (240 penilaian)","30 bulan lalu","null","KAB. BANDUNG","KWITAN Kaos Lengan Panjang CircaDiskon Rp6RBRp180.0002 TerjualKAB. BANDUNG","https://shopee.co.id/KWITAN-Kaos-Lengan-Panjang-Circa-i.267440986.3791187787?sp_atk=c3c589f3-d90a-4000-b939-69e89a299a65&xptdk=c3c589f3-d90a-4000-b939-69e89a299a65","null","null","null","null","null"
"1669055789-409","https://shopee.co.id/mall/brands/11042849","Kuta Lines","https://shopee.co.id/kutalines","","101","77% (hitungan menit)","690","4.9 (264 penilaian)","23 bulan lalu","null","KOTA DENPASAR","43%offKuta Lines - Lock Block Tee - Big Men Fit T Shirt - L-4XLRp279.000 - Rp299.0007 TerjualKOTA DENPASAR","https://shopee.co.id/Kuta-Lines-Lock-Block-Tee-Big-Men-Fit-T-Shirt-L-4XL-i.357167556.8727823238?sp_atk=dc7637a7-8ef8-4f65-8479-48a3d43a0386&xptdk=dc7637a7-8ef8-4f65-8479-48a3d43a0386","null","null","null","null","null"
"1669055812-410","https://shopee.co.id/mall/brands/11042849","Kremlin","https://shopee.co.id/kremlinofficialstore","","178","99% (hitungan jam)","111,1RB","4.9 (53,4RB penilaian)","31 bulan lalu","null","KOTA BANDUNG","40%offKremlin T-shirt Anime Rumble - Monkey D. LuffyRp89.900 - Rp99.9003,8RB TerjualKOTA BANDUNG","https://shopee.co.id/Kremlin-T-shirt-Anime-Rumble-Monkey-D.-Luffy-i.252712864.9378883000?sp_atk=2f1bb8ba-1e15-4336-9b92-c8c4f913aba8&xptdk=2f1bb8ba-1e15-4336-9b92-c8c4f913aba8","null","null","null","null","null"
"1669055835-411","https://shopee.co.id/mall/brands/11042849","KRALL","https://shopee.co.id/krall.id","","2","79% (hitungan jam)","2,5RB","5.0 (174 penilaian)","21 bulan lalu","null","KOTA BEKASI","25%offKRALL SCRAWL Hoodie PulloverRp599.000Rp449.00046 TerjualKOTA BEKASI","https://shopee.co.id/KRALL-SCRAWL-Hoodie-Pullover-i.385421377.9514895942?sp_atk=55be29fc-af93-4070-ab41-711543de9017&xptdk=55be29fc-af93-4070-ab41-711543de9017","null","null","null","null","null"
"1669055860-412","https://shopee.co.id/mall/brands/11042849","KPM APPAREL","https://shopee.co.id/kpmapparel","","50","93% (hitungan jam)","472","4.9 (820 penilaian)","13 bulan lalu","null","KOTA JAKARTA BARAT","45%offKPM APPAREL Classic Premium Kaos Polos Lengan Pendek Pria dan Wanita Size Dewasa Part 1 Combed 20sRp82.000Rp47.000186 TerjualKOTA JAKARTA BARAT","https://shopee.co.id/KPM-APPAREL-Classic-Premium-Kaos-Polos-Lengan-Pendek-Pria-dan-Wanita-Size-Dewasa-Part-1-Combed-20s-i.566599220.13636748443?sp_atk=fda5138f-66e0-4c39-9baa-b2ea0ce1f6ae&xptdk=fda5138f-66e0-4c39-9baa-b2ea0ce1f6ae","null","null","null","null","null"
"1669055883-413","https://shopee.co.id/mall/brands/11042849","Koze","https://shopee.co.id/kozeofficial","","99","100% (hitungan menit)","18,7RB","4.9 (12,6RB penilaian)","5 tahun lalu","null","KOTA JAKARTA TIMUR","50%offKOZE - Premium Comfort Black T-shirt - Kaos Polos HitamMurah LebayRp110.000Rp55.0006RB TerjualKOTA JAKARTA TIMUR","https://shopee.co.id/KOZE-Premium-Comfort-Black-T-shirt-Kaos-Polos-Hitam-i.56709029.976814678?sp_atk=fd68b660-cd53-4165-8278-61f3dc93b0db&xptdk=fd68b660-cd53-4165-8278-61f3dc93b0db","null","null","null","null","null"
"1669055906-414","https://shopee.co.id/mall/brands/11042849","KORZ","https://shopee.co.id/korzcollection","","370","94% (hitungan jam)","74RB","4.8 (44,4RB penilaian)","4 tahun lalu","null","KOTA BANDUNG","52%offBlueButton Smart Chino Ankle Pants Kekinian SLIM FIT Stretch Magic Waist Celana Panjang Pria Casual Formal KerjaDiskon 5%Murah LebayRp189.900 - Rp199.90010RB+ TerjualKOTA BANDUNG","https://shopee.co.id/BlueButton-Smart-Chino-Ankle-Pants-Kekinian-SLIM-FIT-Stretch-Magic-Waist-Celana-Panjang-Pria-Casual-Formal-Kerja-i.86928717.3106480738?sp_atk=a432968e-57db-4b1f-a865-b3ff57dab6d4&xptdk=a432968e-57db-4b1f-a865-b3ff57dab6d4","null","null","null","null","null"
"1669055929-415","https://shopee.co.id/mall/brands/11042849","KNURD","https://shopee.co.id/knurdclub","","17","20% (hitungan jam)","699","4.9 (333 penilaian)","18 bulan lalu","null","KOTA TANGERANG SELATAN","30%offKnurd Club Fleece ShortsRp220.000Rp154.00033 TerjualKOTA TANGERANG SELATAN","https://shopee.co.id/Knurd-Club-Fleece-Shorts-i.446512514.10714033184?sp_atk=8f3c3483-82f1-458f-a756-4d6a8888179f&xptdk=8f3c3483-82f1-458f-a756-4d6a8888179f","null","null","null","null","null"
"1669055954-416","https://shopee.co.id/mall/brands/11042849","KLF","https://shopee.co.id/klf_official","","81","79% (hitungan jam)","8,3RB","5.0 (120 penilaian)","11 bulan lalu","null","KOTA BANDUNG","KLF Coach Jacket  Oversize Brother Black UnisexRp429.0007 TerjualKOTA BANDUNG","https://shopee.co.id/KLF-Coach-Jacket-Oversize-Brother-Black-Unisex-i.646473307.17706944650?sp_atk=d1f7ae91-d299-41cd-9b98-b1b423e081ec&xptdk=d1f7ae91-d299-41cd-9b98-b1b423e081ec","null","null","null","null","null"
"1669055977-417","https://shopee.co.id/mall/brands/11042849","Kizaru Animanga","https://shopee.co.id/kizaruworld","","514","99% (hitungan jam)","201RB","4.9 (115,9RB penilaian)","5 tahun lalu","null","KOTA BANDUNG","66%offKIZARU - Tali Masker / Lanyard Mask / Strap Masker PremiumRp15.000Rp6.90010RB+ TerjualKOTA BANDUNG","https://shopee.co.id/KIZARU-Tali-Masker-Lanyard-Mask-Strap-Masker-Premium-i.39101004.8103672234?sp_atk=6420d15d-0d5e-4112-b235-5ec1cef6e00c&xptdk=6420d15d-0d5e-4112-b235-5ec1cef6e00c","null","null","null","null","null"
"1669056000-418","https://shopee.co.id/mall/brands/11042849","KILLMYBUNNY","https://shopee.co.id/killmybunny","","180","92% (hitungan jam)","9RB","4.8 (2,5RB penilaian)","4 tahun lalu","null","KOTA CIMAHI","Killmybunny Kaos | Tshirt Bunny HangingRp180.000298 TerjualKOTA CIMAHI","https://shopee.co.id/Killmybunny-Kaos-Tshirt-Bunny-Hanging-i.101755532.5533896290?sp_atk=addb88ea-ba1f-48c9-9970-45073a4ad479&xptdk=addb88ea-ba1f-48c9-9970-45073a4ad479","null","null","null","null","null"
"1669056034-419","https://shopee.co.id/mall/brands/11042849","KIKOINA","https://shopee.co.id/kiko.ina","","102","98% (hitungan jam)","99,7RB","4.7 (53,4RB penilaian)","4 tahun lalu","null","KOTA TANGERANG","30%offKiko Ina scott chino pantsDiskon Rp16RBPilih 2, diskon Rp5.000Rp139.000Rp97.3005,2RB TerjualKOTA TANGERANG","https://shopee.co.id/Kiko-Ina-scott-chino-pants-i.84538047.8027213531?sp_atk=2b0ca4bc-b814-47cf-be2b-de15280797d8&xptdk=2b0ca4bc-b814-47cf-be2b-de15280797d8","null","null","null","null","null"
"1669056057-420","https://shopee.co.id/mall/brands/11042849","Kiddrock","https://shopee.co.id/kiddrockclothingofficial","","149","61% (hitungan jam)","916","4.9 (160 penilaian)","2 bulan lalu","null","KOTA BANDUNG","75%offKiddrock - Blazer Kanvas KiddrockRp215.000Rp53.75022 TerjualKOTA BANDUNG","https://shopee.co.id/Kiddrock-Blazer-Kanvas-Kiddrock-i.858663600.20254665439?sp_atk=0e048a45-2111-4d22-8211-f50f18aa5ee6&xptdk=0e048a45-2111-4d22-8211-f50f18aa5ee6","null","null","null","null","null"
"1669056080-421","https://shopee.co.id/mall/brands/11042849","Kickout","https://shopee.co.id/kickoutapparel","","310","76% (hitungan jam)","66,4RB","4.7 (16,9RB penilaian)","5 tahun lalu","null","KOTA TANGERANG","50%offKickout - Sacoche Bag Creamlin -  Tas Selempang - Murah BerkualitasRp120.000Rp60.000283 TerjualKOTA TANGERANG","https://shopee.co.id/Kickout-Sacoche-Bag-Creamlin-Tas-Selempang-Murah-Berkualitas-i.66480833.8810972041?sp_atk=6d7f6f5c-12d7-4453-aaf0-3e27bc971645&xptdk=6d7f6f5c-12d7-4453-aaf0-3e27bc971645","null","null","null","null","null"
"1669056103-422","https://shopee.co.id/mall/brands/11042849","Kick Denim Pimp Your Pants","https://shopee.co.id/kickdenimstore","","232","88% (hitungan jam)","25RB","4.9 (5RB penilaian)","23 bulan lalu","null","KOTA BANDUNG","37%offKick Denim - Long Tshirt Hiden TypoRp160.000Rp100.800108 TerjualKOTA BANDUNG","https://shopee.co.id/Kick-Denim-Long-Tshirt-Hiden-Typo-i.361943168.10961183539?sp_atk=76a94f0e-5bea-4a5f-9a9f-c6d178b243b4&xptdk=76a94f0e-5bea-4a5f-9a9f-c6d178b243b4","null","null","null","null","null"
"1669056126-423","https://shopee.co.id/mall/brands/11042849","Kick Chick","https://shopee.co.id/kickchickcloth","","407","92% (hitungan jam)","229,5RB","4.8 (119,5RB penilaian)","5 tahun lalu","null","KAB. BANTUL","64%offKickchick Tas Selempang Slingbag | Coca Series | Black Yellow Green Red Green ArmyDiskon Rp2,5RBPilih 2, diskon Rp2.000Rp180.000Rp65.00010RB+ TerjualKAB. BANTUL","https://shopee.co.id/Kickchick-Tas-Selempang-Slingbag-Coca-Series-Black-Yellow-Green-Red-Green-Army-i.23673215.3462518773?sp_atk=1bfd5df3-96a7-4d10-9155-38b3e5f0fcbc&xptdk=1bfd5df3-96a7-4d10-9155-38b3e5f0fcbc","null","null","null","null","null"
"1669056148-424","https://shopee.co.id/mall/brands/11042849","KHU","https://shopee.co.id/khuofficial","","70","9%","501","4.5 (21 penilaian)","27 bulan lalu","null","KOTA JAKARTA PUSAT","20%offKHU - Byron Tye Dye SweatshirtRp320.000Rp256.000KOTA JAKARTA PUSAT","https://shopee.co.id/KHU-Byron-Tye-Dye-Sweatshirt-i.301263953.10107876146?sp_atk=6b4b0187-8a4f-4cc3-a25c-d085f218229c&xptdk=6b4b0187-8a4f-4cc3-a25c-d085f218229c","null","null","null","null","null"
"1669056172-425","https://shopee.co.id/mall/brands/11042849","Kevas Co","https://shopee.co.id/kevascoofficial","","650","99% (hitungan jam)","79,1RB","4.8 (24,8RB penilaian)","4 tahun lalu","null","KOTA JAKARTA TIMUR","42%offKevas Basic Pocket T-ShirtDiskon Rp2,5RBPilih 2, diskon Rp10.000Rp95.000 - Rp96.0002,5RB TerjualKOTA JAKARTA TIMUR","https://shopee.co.id/Kevas-Basic-Pocket-T-Shirt-i.102356142.3980093134?sp_atk=10e1a677-d07f-4a11-8113-c1f058fdbe72&xptdk=10e1a677-d07f-4a11-8113-c1f058fdbe72","null","null","null","null","null"
"1669056195-426","https://shopee.co.id/mall/brands/11042849","Kepomp","https://shopee.co.id/kepompofficial","","294","89% (hitungan jam)","6,2RB","4.7 (3,3RB penilaian)","5 tahun lalu","null","KOTA TANGERANG","41%offKepomp Sweater Polos Crewneck Basic Hitam Unisex Premium QualityRp99.900 - Rp269.900605 TerjualKOTA TANGERANG","https://shopee.co.id/Kepomp-Sweater-Polos-Crewneck-Basic-Hitam-Unisex-Premium-Quality-i.36464720.5601693569?sp_atk=d06bd9a8-30b1-4659-9962-290831de5956&xptdk=d06bd9a8-30b1-4659-9962-290831de5956","null","null","null","null","null"
"1669056219-427","https://shopee.co.id/mall/brands/11042849","Kent & Crew","https://shopee.co.id/kentcrewofficial","","295","66% (hitungan jam)","7,4RB","4.9 (1,1RB penilaian)","19 bulan lalu","null","KOTA JAKARTA TIMUR","71%offKENT&CREW Kemeja Flanel Lengan Panjang PriaDiskon 50%Kombo HematRp449.900Rp129.90060 TerjualKOTA JAKARTA TIMUR","https://shopee.co.id/KENT-CREW-Kemeja-Flanel-Lengan-Panjang-Pria-i.437477267.9887519972?sp_atk=fd49db13-90e5-4016-9452-989b27c917d6&xptdk=fd49db13-90e5-4016-9452-989b27c917d6","null","null","null","null","null"
"1669056242-428","https://shopee.co.id/mall/brands/11042849","Kemeja BOSS","https://shopee.co.id/kemejaboss.official","","330","100% (hitungan jam)","66,7RB","4.9 (19,5RB penilaian)","22 bulan lalu","null","KOTA JAKARTA BARAT","30%offBOSS Masker Kain Batik 3 LapisMurah LebayRp10.000Rp7.00010RB+ TerjualKOTA JAKARTA BARAT","https://shopee.co.id/BOSS-Masker-Kain-Batik-3-Lapis-i.376131186.9515221803?sp_atk=3970928f-3033-496a-be69-79bac83fee8e&xptdk=3970928f-3033-496a-be69-79bac83fee8e","null","null","null","null","null"
"1669056265-429","https://shopee.co.id/mall/brands/11042849","Keith Studio 1982","https://shopee.co.id/keith.studio","","183","73% (hitungan jam)","154,1RB","4.8 (58,8RB penilaian)","27 bulan lalu","null","KOTA BANDUNG","69%offKeith FEEL SOMETHING - WHITE t-shirtDiskon 50%Rp234.000Rp72.0003,1RB TerjualKOTA BANDUNG","https://shopee.co.id/Keith-FEEL-SOMETHING-WHITE-t-shirt-i.298875111.6355648080?sp_atk=b534fedd-336f-4cf8-989e-7f312b30ab21&xptdk=b534fedd-336f-4cf8-989e-7f312b30ab21","null","null","null","null","null"
"1669056288-430","https://shopee.co.id/mall/brands/11042849","Kaza Indonesia","https://shopee.co.id/kaza.indonesia","","156","100% (hitungan jam)","28,7RB","4.8 (27RB penilaian)","33 bulan lalu","null","KOTA DENPASAR","Wear Kaza Indonesia - Shortpant 'Black'Rp120.000 - Rp130.00010RB TerjualKOTA DENPASAR","https://shopee.co.id/Wear-Kaza-Indonesia-Shortpant-'Black'-i.227114661.7322402367?sp_atk=c162e2f0-0be2-40d7-a0a2-fc0711c4e0ec&xptdk=c162e2f0-0be2-40d7-a0a2-fc0711c4e0ec","null","null","null","null","null"
"1669056311-431","https://shopee.co.id/mall/brands/11042849","Kaula Indonesia","https://shopee.co.id/kaulaindonesia","","59","96% (hitungan jam)","6,7RB","4.9 (2,3RB penilaian)","29 bulan lalu","null","KOTA BANDUNG","Kaula Croquet White Ringer TeeRp149.000137 TerjualKOTA BANDUNG","https://shopee.co.id/Kaula-Croquet-White-Ringer-Tee-i.280539883.4641488051?sp_atk=c90102b6-9e1d-4f72-a17c-b59e2d7ee6c1&xptdk=c90102b6-9e1d-4f72-a17c-b59e2d7ee6c1","null","null","null","null","null"
"1669056333-432","https://shopee.co.id/mall/brands/11042849","Kattoen.","https://shopee.co.id/kattoen.","","470","93% (hitungan jam)","206,1RB","4.9 (78,6RB penilaian)","3 tahun lalu","null","KOTA MALANG","25%offKattoen Jaket Jumper Hoodie Polos - Green BottleRp187.900 - Rp207.900914 TerjualKOTA MALANG","https://shopee.co.id/Kattoen-Jaket-Jumper-Hoodie-Polos-Green-Bottle-i.172184715.6114081942?sp_atk=db24ae86-4a71-439c-bca1-47e0365f7209&xptdk=db24ae86-4a71-439c-bca1-47e0365f7209","null","null","null","null","null"
"1669056357-433","https://shopee.co.id/mall/brands/11042849","KASUAL","https://shopee.co.id/kasualindonesia","","293","100% (hitungan jam)","49,7RB","4.8 (9,3RB penilaian)","17 bulan lalu","null","KOTA JAKARTA SELATAN","47%offKasual Celana Grey Ankle AirRp399.000Rp209.9001,7RB TerjualKOTA JAKARTA SELATAN","https://shopee.co.id/Kasual-Celana-Grey-Ankle-Air-i.473991225.8584580619?sp_atk=55016c3d-5a7e-4a1f-befa-6f47c4e03b07&xptdk=55016c3d-5a7e-4a1f-befa-6f47c4e03b07","null","null","null","null","null"
"1669056380-434","https://shopee.co.id/mall/brands/11042849","Karunia Batik","https://shopee.co.id/karuniabatikofficial","","160","54% (hitungan jam)","1,3RB","4.8 (371 penilaian)","32 bulan lalu","null","KOTA SURABAYA","Karunia Batik 3 WarnaDiskon Rp20RBRp180.00020 TerjualKOTA SURABAYA","https://shopee.co.id/Karunia-Batik-3-Warna-i.240805533.7538424878?sp_atk=ff51ea3c-e806-4753-bf5b-9426f2a8f175&xptdk=ff51ea3c-e806-4753-bf5b-9426f2a8f175","null","null","null","null","null"
"1669056403-435","https://shopee.co.id/mall/brands/11042849","Karibatur","https://shopee.co.id/karibatur","","88","55% (hitungan jam)","29,6RB","4.9 (6,7RB penilaian)","34 bulan lalu","null","KAB. BANDUNG","69%offKaribatur Polo Shirt Stripy YellowRp209.000Rp65.000112 TerjualKAB. BANDUNG","https://shopee.co.id/Karibatur-Polo-Shirt-Stripy-Yellow-i.218825527.9704973130?sp_atk=21cae2c0-9698-47fb-8f94-713df22c5cfe&xptdk=21cae2c0-9698-47fb-8f94-713df22c5cfe","null","null","null","null","null"
"1669056426-436","https://shopee.co.id/mall/brands/11042849","Kaospoloshn2","https://shopee.co.id/kaospoloshand2","","102","73% (hitungan jam)","3,8RB","4.9 (3,3RB penilaian)","4 tahun lalu","null","KOTA BANDUNG","38%offKaospoloshn2 Kaos Kaos Polos Hitam Lengan Pendek | Anti Bakteri | Cotton | Combed | Kaos Santai | Kaos Couple | Casual | Atasan | Kaos Viral | Grosir KaosRp55.180 - Rp99.180586 TerjualKOTA BANDUNG","https://shopee.co.id/Kaospoloshn2-Kaos-Kaos-Polos-Hitam-Lengan-Pendek-Anti-Bakteri-Cotton-Combed-Kaos-Santai-Kaos-Couple-Casual-Atasan-Kaos-Viral-Grosir-Kaos-i.92717314.1542788266?sp_atk=07c81a11-bb17-48c5-91f9-d1853a7a3044&xptdk=07c81a11-bb17-48c5-91f9-d1853a7a3044","null","null","null","null","null"
"1669056449-437","https://shopee.co.id/mall/brands/11042849","Kalostee","https://shopee.co.id/kalosteeid","","67","66% (hitungan jam)","1,6RB","4.9 (1,7RB penilaian)","4 tahun lalu","null","KOTA JAKARTA BARAT","KALOSTEE Kaos Polos Premium Basic 28s 100% Cotton - BlackRp50.000 - Rp57.000814 TerjualKOTA JAKARTA BARAT","https://shopee.co.id/KALOSTEE-Kaos-Polos-Premium-Basic-28s-100-Cotton-Black-i.134301094.3107662425?sp_atk=6d890325-8395-430f-bad4-c37e45850432&xptdk=6d890325-8395-430f-bad4-c37e45850432","null","null","null","null","null"
"1669056471-438","https://shopee.co.id/mall/brands/11042849","Kale","https://shopee.co.id/kalestore","","464","98% (hitungan jam)","111RB","4.9 (68,8RB penilaian)","5 tahun lalu","null","KOTA BANDUNG","53%offKale ARION DEXTER BASIC / Kaos Pria / Kaos Polos / Cotton Combed 30S / Cotton Combed 24SDiskon 50%Rp63.000 - Rp135.00010RB+ TerjualKOTA BANDUNG","https://shopee.co.id/Kale-ARION-DEXTER-BASIC-Kaos-Pria-Kaos-Polos-Cotton-Combed-30S-Cotton-Combed-24S-i.47570993.5540307552?sp_atk=31daefd9-2de9-467e-acca-e85aa2a24de9&xptdk=31daefd9-2de9-467e-acca-e85aa2a24de9","null","null","null","null","null"
"1669056494-439","https://shopee.co.id/mall/brands/11042849","Used Jeans","https://shopee.co.id/usedjeansofficial","","122","37% (hitungan jam)","3,4RB","4.8 (887 penilaian)","25 bulan lalu","null","KOTA MALANG","36%offUSED Jeans - Celana Panjang Jeans Pria Regular in Double Black (515)Rp330.000Rp210.00083 TerjualKOTA MALANG","https://shopee.co.id/USED-Jeans-Celana-Panjang-Jeans-Pria-Regular-in-Double-Black-(515)-i.332163158.6279588654?sp_atk=c5973b1c-5726-4dcb-a52e-44f89cab1447&xptdk=c5973b1c-5726-4dcb-a52e-44f89cab1447","null","null","null","null","null"
